pdb_id,cutoff,from_pdb_id
124D,1993-10-31,124D
157D,1994-05-31,157D
165D,1994-08-31,165D
176D,1994-11-01,176D
17RA,1999-04-20,17RA
1A1T,1998-06-17,1A1T
1A34,1998-04-29,1A34
1A3M,1998-04-29,1A3M
1A4D,1997-12-01,357D
1A4T,1998-04-29,1A4T
1A51,1998-05-27,1A51
1A60,1998-05-27,1A60
1A9L,1998-06-17,1A9L
1A9N,1998-09-23,1A9N
1AC3,1997-06-16,1AC3
1AFX,1997-05-15,1AFX
1AJF,1997-07-07,1AJF
1AJL,1997-07-07,1AJL
1AJT,1997-07-07,1AJL
1AJU,1997-11-19,1AKX
1AKX,1997-11-19,1AKX
1AL5,1997-12-17,1AL5
1AM0,1997-07-23,1AM0
1ANR,1996-11-08,1ARJ
1AQ3,1997-04-21,1ZDI
1AQ4,1997-04-21,1ZDI
1AQO,1998-02-04,1AQO
1ARJ,1996-11-08,1ARJ
1ASY,1987-11-06,2TRA
1ASZ,1987-11-06,2TRA
1ATO,1997-11-12,1ATO
1ATV,1998-02-25,1ATV
1ATW,1998-02-25,1ATW
1AUD,1998-02-25,1AUD
1AV6,1998-02-25,1AV6
1B23,1998-12-07,1B23
1B2M,1999-03-25,1B2M
1B36,1998-12-23,1B36
1B7F,1999-05-03,1B7F
1BAU,1999-04-27,1BAU
1BGZ,1999-01-13,1BGZ
1BIV,1996-12-23,1BIV
1BJ2,1999-02-02,1BJ2
1BMV,1989-10-09,1BMV
1BN0,1998-06-17,1A1T
1BR3,1999-02-23,1BR3
1BVJ,1998-12-09,1BVJ
1BYJ,1997-09-17,1PBR
1BYX,1998-10-06,398D
1BZ2,1999-04-27,1BZ2
1BZ3,1999-04-27,1BZ2
1BZT,1999-04-27,1BZ2
1BZU,1999-04-27,1BZ2
1C04,1995-01-26,1SCL
1C0A,1999-11-23,1C0A
1C0O,1999-08-31,1C0O
1C2Q,1999-11-29,1C2Q
1C2W,2000-04-10,1C2W
1C2X,2000-04-10,1C2X
1C4L,2000-08-09,1C4L
1C9S,1999-09-15,1C9S
1CGM,1989-01-09,2TMV
1CQ5,1999-08-23,1CQ5
1CQL,1999-08-23,1CQ5
1CSL,2000-02-14,1CSL
1CVJ,1998-04-29,1A34
1CWP,1995-05-22,1CWP
1CX5,1997-06-16,1AC3
1D0T,2000-05-24,1D0T
1D0U,2000-05-24,1D0T
1D4R,1999-12-02,1D4R
1D6K,1999-11-22,1D6K
1DDL,2000-10-30,1DDL
1DDY,2000-01-01,1DDY
1DFU,1999-12-02,1DFU
1DI2,1999-12-02,1DI2
1DK1,2000-04-02,1DK1
1DQF,2000-11-13,1DQF
1DQH,2000-11-13,1DQF
1DRR,1998-04-22,1DRR
1DRZ,1999-02-16,1DRZ
1DUH,2000-05-08,1DUH
1DUL,2000-02-28,1DUL
1DUQ,2000-05-16,1DUQ
1DV4,2000-02-02,1DV4
1DZ5,2000-03-29,1DZ5
1E4P,2001-01-16,1E4P
1E7K,2001-02-19,1E7K
1E8O,2000-11-08,1E8O
1E8S,2000-11-08,1E8S
1E95,2001-08-23,1E95
1EBQ,1997-07-07,1EBQ
1EBR,1997-07-07,1EBR
1EBS,1997-07-07,1EBQ
1EC6,2000-02-21,1EC6
1EFO,2000-05-29,1EFO
1EFS,2000-03-06,1EFS
1EFW,1999-11-23,1C0A
1EG0,1999-08-31,1QD7
1EGK,2000-06-26,1EGK
1EHT,1997-12-24,1EHT
1EHZ,1978-04-12,4TNA
1EI2,1999-08-31,1QC8
1EIY,2000-03-06,1EIY
1EJZ,2000-10-23,1EJZ
1EKA,2000-11-13,1EKA
1EKD,2000-11-13,1EKD
1EKZ,2000-08-21,1EKZ
1ELH,1994-01-31,1ELH
1EMI,2000-06-12,1EMI
1EQQ,1999-10-04,486D
1ESH,2000-04-24,1ESH
1ESY,2000-05-31,1ESY
1ET4,2000-01-01,1DDY
1ETF,1997-03-12,1ETF
1ETG,1997-03-12,1ETF
1EUQ,2000-06-04,1EUQ
1EUY,2000-06-04,1EUY
1EVV,1978-04-12,4TNA
1EXD,2000-05-15,1EXD
1EXY,2000-05-15,1EXY
1F1T,2000-09-04,1F1T
1F27,2000-06-12,1F27
1F5G,2000-06-26,1F5G
1F5H,2000-06-26,1F5G
1F5U,2000-08-21,1F5U
1F6U,2000-05-31,1ESY
1F6X,2000-10-09,1F6X
1F6Z,2000-10-09,1F6Z
1F78,2000-10-09,1F6X
1F79,2000-10-09,1F6Z
1F7F,2000-10-09,1F6X
1F7G,2000-10-09,1F6Z
1F7H,2000-10-09,1F6X
1F7I,2000-10-09,1F6Z
1F7Y,2000-04-02,1DK1
1F84,2000-11-17,1F84
1F85,2000-11-17,1F85
1F8V,2000-12-06,1F8V
1F9L,2000-07-26,1F9L
1FCW,1978-04-12,4TNA
1FEQ,2000-11-22,1FEQ
1FEU,1997-12-01,357D
1FFK,2000-08-14,1FFK
1FFY,1999-08-31,1QU2
1FFZ,2000-08-28,1FFZ
1FG0,2000-08-28,1FFZ
1FHK,2001-03-21,1FHK
1FIR,2001-01-17,1FIR
1FIX,1996-12-11,1FIX
1FJE,2001-01-03,1FJE
1FJG,2000-09-25,1FJG
1FKA,1999-08-31,1QD7
1FL8,1999-04-27,1BZ2
1FMN,1996-07-11,1FMN
1FNX,2003-06-24,1FNX
1FOQ,2000-12-22,1FOQ
1FQZ,2000-11-17,1F84
1FUF,2001-11-09,1FUF
1FXL,2001-02-05,1FXL
1FYO,2001-03-14,1FYO
1FYP,2001-03-14,1FYO
1G1X,2000-10-30,1G1X
1G2E,2001-02-05,1G2E
1G2J,2000-12-06,1G2J
1G3A,1997-06-24,310D
1G4Q,2003-07-01,1JB8
1G59,2001-09-01,1G59
1G70,2001-02-07,1G70
1GAX,2000-12-06,1GAX
1GID,1996-12-31,1GID
1GRZ,1998-11-24,1GRZ
1GSG,1992-02-24,1GSG
1GTF,2002-04-05,1GTF
1GTN,2002-04-05,1GTN
1GTR,1992-02-24,1GSG
1GTS,1992-02-24,1GSG
1GUC,1997-02-12,1GUC
1H0Q,2002-01-02,1HG9
1H1K,2002-09-26,1H1K
1H2C,2003-04-10,1H2C
1H2D,2003-04-10,1H2C
1H38,2002-11-20,1H38
1H3E,2002-10-27,1H3E
1H4Q,2001-06-18,1H4Q
1H4S,2001-06-18,1H4Q
1HC8,1995-01-26,1SCL
1HG9,2002-01-02,1HG9
